Year,Network,Species,Sex,Weight
2002,CRO,water.vole,male,70
2002,CRO,water.vole,male,70
2004,CRO,water.vole,male,70
2005,CRO,water.vole,male,70
2005,CRO,water.vole,male,70
2005,CRO,water.vole,male,70
2005,CRO,water.vole,male,70
2010,CRO,water.vole,male,70
2011,CRO,water.vole,male,70
2011,CRO,water.vole,male,70
2012,CRO,water.vole,male,70
2012,CRO,water.vole,male,70
2012,CRO,water.vole,male,70
2002,CRO,water.vole,male,74
2002,CRO,water.vole,male,74
1999,CRO,water.vole,male,75
2002,CRO,water.vole,male,75
2002,CRO,water.vole,male,75
2003,CRO,water.vole,male,75
2005,CRO,water.vole,male,75
2005,CRO,water.vole,male,75
2005,CRO,water.vole,male,75
2005,CRO,water.vole,male,75
2012,CRO,water.vole,male,75
1999,CRO,water.vole,male,80
1999,CRO,water.vole,male,80
2002,CRO,water.vole,male,80
2002,CRO,water.vole,male,80
2002,CRO,water.vole,male,80
2004,CRO,water.vole,male,80
2005,CRO,water.vole,male,80
2005,CRO,water.vole,male,80
2005,CRO,water.vole,male,80
2005,CRO,water.vole,male,80
2005,CRO,water.vole,male,80
2009,CRO,water.vole,male,80
2010,CRO,water.vole,male,80
2012,CRO,water.vole,male,80
2012,CRO,water.vole,male,80
2012,CRO,water.vole,male,80
2002,CRO,water.vole,male,82
2002,CRO,water.vole,male,84
2011,CRO,water.vole,male,84
1999,CRO,water.vole,male,85
2001,CRO,water.vole,male,85
2002,CRO,water.vole,male,85
2002,CRO,water.vole,male,85
2003,CRO,water.vole,male,85
2003,CRO,water.vole,male,85
2003,CRO,water.vole,male,85
2003,CRO,water.vole,male,85
2003,CRO,water.vole,male,85
2003,CRO,water.vole,male,85
2005,CRO,water.vole,male,85
2006,CRO,water.vole,male,85
2007,CRO,water.vole,male,85
2008,CRO,water.vole,male,85
2012,CRO,water.vole,male,85
2012,CRO,water.vole,male,85
2012,CRO,water.vole,male,85
2002,CRO,water.vole,male,86
2002,CRO,water.vole,male,88
2002,CRO,water.vole,male,90
2002,CRO,water.vole,male,90
2003,CRO,water.vole,male,90
2003,CRO,water.vole,male,90
2003,CRO,water.vole,male,90
2003,CRO,water.vole,male,90
2003,CRO,water.vole,male,90
2003,CRO,water.vole,male,90
2005,CRO,water.vole,male,90
2005,CRO,water.vole,male,90
2006,CRO,water.vole,male,90
2007,CRO,water.vole,male,90
2007,CRO,water.vole,male,90
2009,CRO,water.vole,male,90
2010,CRO,water.vole,male,90
2010,CRO,water.vole,male,90
2011,CRO,water.vole,male,90
2011,CRO,water.vole,male,90
2011,CRO,water.vole,male,90
2011,CRO,water.vole,male,90
2012,CRO,water.vole,male,90
2012,CRO,water.vole,male,90
2002,CRO,water.vole,male,91
2011,CRO,water.vole,male,92
2002,CRO,water.vole,male,95
2003,CRO,water.vole,male,95
2003,CRO,water.vole,male,95
2003,CRO,water.vole,male,95
2003,CRO,water.vole,male,95
2003,CRO,water.vole,male,95
2003,CRO,water.vole,male,95
2003,CRO,water.vole,male,95
2008,CRO,water.vole,male,95
2009,CRO,water.vole,male,95
2011,CRO,water.vole,male,95
2011,CRO,water.vole,male,95
2012,CRO,water.vole,male,95
1999,CRO,water.vole,male,100
1999,CRO,water.vole,male,100
1999,CRO,water.vole,male,100
1999,CRO,water.vole,male,100
2001,CRO,water.vole,male,100
2001,CRO,water.vole,male,100
2002,CRO,water.vole,male,100
2002,CRO,water.vole,male,100
2003,CRO,water.vole,male,100
2003,CRO,water.vole,male,100
2004,CRO,water.vole,male,100
2004,CRO,water.vole,male,100
2004,CRO,water.vole,male,100
2005,CRO,water.vole,male,100
2005,CRO,water.vole,male,100
2008,CRO,water.vole,male,100
2008,CRO,water.vole,male,100
2008,CRO,water.vole,male,100
2008,CRO,water.vole,male,100
2008,CRO,water.vole,male,100
2008,CRO,water.vole,male,100
2008,CRO,water.vole,male,100
2009,CRO,water.vole,male,100
2009,CRO,water.vole,male,100
2009,CRO,water.vole,male,100
2009,CRO,water.vole,male,100
2009,CRO,water.vole,male,100
2009,CRO,water.vole,male,100
2009,CRO,water.vole,male,100
2011,CRO,water.vole,male,100
2011,CRO,water.vole,male,100
2011,CRO,water.vole,male,100
2012,CRO,water.vole,male,100
1999,CRO,water.vole,male,105
1999,CRO,water.vole,male,105
2001,CRO,water.vole,male,105
2001,CRO,water.vole,male,105
2003,CRO,water.vole,male,105
2003,CRO,water.vole,male,105
2005,CRO,water.vole,male,105
2008,CRO,water.vole,male,105
2008,CRO,water.vole,male,105
2009,CRO,water.vole,male,105
2009,CRO,water.vole,male,105
2011,CRO,water.vole,male,105
2011,CRO,water.vole,male,105
2011,CRO,water.vole,male,105
2012,CRO,water.vole,male,105
2002,CRO,water.vole,male,110
2002,CRO,water.vole,male,110
2003,CRO,water.vole,male,110
2003,CRO,water.vole,male,110
2004,CRO,water.vole,male,110
2004,CRO,water.vole,male,110
2005,CRO,water.vole,male,110
2005,CRO,water.vole,male,110
2006,CRO,water.vole,male,110
2007,CRO,water.vole,male,110
2008,CRO,water.vole,male,110
2008,CRO,water.vole,male,110
2010,CRO,water.vole,male,110
2010,CRO,water.vole,male,110
2011,CRO,water.vole,male,110
2011,CRO,water.vole,male,110
2011,CRO,water.vole,male,110
2012,CRO,water.vole,male,110
2012,CRO,water.vole,male,110
2002,CRO,water.vole,male,112
1999,CRO,water.vole,male,115
1999,CRO,water.vole,male,115
2001,CRO,water.vole,male,115
2003,CRO,water.vole,male,115
2004,CRO,water.vole,male,115
2004,CRO,water.vole,male,115
2004,CRO,water.vole,male,115
2007,CRO,water.vole,male,115
2007,CRO,water.vole,male,115
2008,CRO,water.vole,male,115
2008,CRO,water.vole,male,115
2008,CRO,water.vole,male,115
2008,CRO,water.vole,male,115
2008,CRO,water.vole,male,115
2009,CRO,water.vole,male,115
2010,CRO,water.vole,male,115
2011,CRO,water.vole,male,115
2011,CRO,water.vole,male,115
2012,CRO,water.vole,male,115
1999,CRO,water.vole,male,120
2001,CRO,water.vole,male,120
2001,CRO,water.vole,male,120
2003,CRO,water.vole,male,120
2003,CRO,water.vole,male,120
2003,CRO,water.vole,male,120
2004,CRO,water.vole,male,120
2004,CRO,water.vole,male,120
2005,CRO,water.vole,male,120
2006,CRO,water.vole,male,120
2007,CRO,water.vole,male,120
2007,CRO,water.vole,male,120
2010,CRO,water.vole,male,120
2010,CRO,water.vole,male,120
2011,CRO,water.vole,male,120
2011,CRO,water.vole,male,120
2011,CRO,water.vole,male,120
2011,CRO,water.vole,male,120
2002,CRO,water.vole,male,122
2002,CRO,water.vole,male,122
2004,CRO,water.vole,male,125
2008,CRO,water.vole,male,125
2008,CRO,water.vole,male,125
2011,CRO,water.vole,male,125
2012,CRO,water.vole,male,125
2002,CRO,water.vole,male,128
1999,CRO,water.vole,male,130
2002,CRO,water.vole,male,130
2002,CRO,water.vole,male,130
2003,CRO,water.vole,male,130
2003,CRO,water.vole,male,130
2003,CRO,water.vole,male,130
2004,CRO,water.vole,male,130
2004,CRO,water.vole,male,130
2004,CRO,water.vole,male,130
2005,CRO,water.vole,male,130
2005,CRO,water.vole,male,130
2005,CRO,water.vole,male,130
2005,CRO,water.vole,male,130
2006,CRO,water.vole,male,130
2008,CRO,water.vole,male,130
2009,CRO,water.vole,male,130
2009,CRO,water.vole,male,130
2010,CRO,water.vole,male,130
2010,CRO,water.vole,male,130
2011,CRO,water.vole,male,130
2011,CRO,water.vole,male,130
2011,CRO,water.vole,male,130
2011,CRO,water.vole,male,130
2011,CRO,water.vole,male,132
1999,CRO,water.vole,male,135
2002,CRO,water.vole,male,135
2002,CRO,water.vole,male,135
2002,CRO,water.vole,male,135
2003,CRO,water.vole,male,135
2003,CRO,water.vole,male,135
2004,CRO,water.vole,male,135
2006,CRO,water.vole,male,135
2006,CRO,water.vole,male,135
2008,CRO,water.vole,male,135
2010,CRO,water.vole,male,135
2011,CRO,water.vole,male,135
2001,CRO,water.vole,male,140
2002,CRO,water.vole,male,140
2002,CRO,water.vole,male,140
2003,CRO,water.vole,male,140
2003,CRO,water.vole,male,140
2003,CRO,water.vole,male,140
2004,CRO,water.vole,male,140
2007,CRO,water.vole,male,140
2007,CRO,water.vole,male,140
2007,CRO,water.vole,male,140
2007,CRO,water.vole,male,140
2008,CRO,water.vole,male,140
2008,CRO,water.vole,male,140
2008,CRO,water.vole,male,140
2009,CRO,water.vole,male,140
2009,CRO,water.vole,male,140
2010,CRO,water.vole,male,140
2010,CRO,water.vole,male,140
2010,CRO,water.vole,male,140
2010,CRO,water.vole,male,140
2011,CRO,water.vole,male,140
2011,CRO,water.vole,male,140
2012,CRO,water.vole,male,140
2012,CRO,water.vole,male,140
1999,CRO,water.vole,male,145
2002,CRO,water.vole,male,145
2003,CRO,water.vole,male,145
2004,CRO,water.vole,male,145
2004,CRO,water.vole,male,145
2005,CRO,water.vole,male,145
2005,CRO,water.vole,male,145
2006,CRO,water.vole,male,145
2011,CRO,water.vole,male,145
2011,CRO,water.vole,male,145
2000,CRO,water.vole,male,148
1999,CRO,water.vole,male,150
2002,CRO,water.vole,male,150
2002,CRO,water.vole,male,150
2003,CRO,water.vole,male,150
2003,CRO,water.vole,male,150
2004,CRO,water.vole,male,150
2004,CRO,water.vole,male,150
